2022/08/17 02:33:17 [error] 32#32: *1 directory index of "/var/www/navpol/" is forbidden, client: 172.18.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:81"
2022/08/17 02:33:18 [error] 32#32: *1 directory index of "/var/www/navpol/" is forbidden, client: 172.18.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:81"
2022/08/17 02:34:00 [error] 32#32: *1 directory index of "/var/www/navpol/" is forbidden, client: 172.18.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:81"
2022/08/17 02:45:28 [error] 33#33: *2 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2022/08/17 02:45:58 [error] 33#33: *2 open() "/usr/share/nginx/html/navpol" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /navpol HTTP/1.1", host: "localhost:8000"
2022/08/17 02:54:35 [error] 31#31: *1 directory index of "/var/www/html/" is forbidden, client: 172.23.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:81"
2022/08/17 02:54:36 [error] 31#31: *1 directory index of "/var/www/html/" is forbidden, client: 172.23.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:29 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:37 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:45 [error] 31#31: *1 open() "/var/www/html/public/index.php/login" failed (20: Not a directory), client: 172.23.0.1, server: , request: "GET /public/index.php/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:51 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:52 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:53 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:55:57 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:56:19 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:56:20 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:56:20 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:56:20 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/17 02:56:20 [error] 31#31: *1 open() "/var/www/html/public/login" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /public/login HTTP/1.1", host: "localhost:81"
2022/08/18 18:58:41 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:17
